イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
3,裏,0,0,1,-,-,-,吉野京士郎,北陸大学,右,辻本匡登,福井工業大学,右,ストレート,,6,真ん中,インプレー,1,1,1,0,1,,-,エラー,ゴロ,投手,0,0,0,0,
3,裏,0,0,1,○,-,-,吉野京士郎,北陸大学,右,濱口 凌輔,福井工業大学,左,フォーク,,13,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,1,0,1,○,-,-,吉野京士郎,北陸大学,右,濱口 凌輔,福井工業大学,左,スライダー,,4,真ん中,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
3,裏,1,1,1,○,-,-,吉野京士郎,北陸大学,右,濱口 凌輔,福井工業大学,左,ストレート,,7,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,1,2,1,○,-,-,吉野京士郎,北陸大学,右,濱口 凌輔,福井工業大学,左,スライダー,,14,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,2,2,1,-,○,-,吉野京士郎,北陸大学,右,濱口 凌輔,福井工業大学,左,フォーク,,14,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,3,2,1,-,○,-,吉野京士郎,北陸大学,右,濱口 凌輔,福井工業大学,左,ストレート,,5,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
3,裏,3,2,1,-,○,-,吉野京士郎,北陸大学,右,濱口 凌輔,福井工業大学,左,ストレート,,4,内角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
3,裏,0,0,2,-,○,-,吉野京士郎,北陸大学,右,伊藤 航太,福井工業大学,左,スライダー,,4,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,0,1,2,-,○,-,吉野京士郎,北陸大学,右,伊藤 航太,福井工業大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
