イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
5,裏,1,0,2,-,-,-,藤川泰斗,福井工業大学,左,今岡 歩夢,金沢学院大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
5,裏,2,0,2,-,-,-,藤川泰斗,福井工業大学,左,今岡 歩夢,金沢学院大学,左,ストレート,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
5,裏,2,1,2,-,-,-,藤川泰斗,福井工業大学,左,今岡 歩夢,金沢学院大学,左,ストレート,,8,,インプレー,1,1,1,1,1,,-,単打,ゴロ,中堅手,0,0,0,0,
5,裏,0,0,2,○,-,-,藤川泰斗,福井工業大学,左,北井 聖,金沢学院大学,右,スライダー,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
5,裏,1,0,2,○,-,-,藤川泰斗,福井工業大学,左,北井 聖,金沢学院大学,右,ストレート,,5,真ん中,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,
6,表,0,0,0,-,-,-,水谷光希,金沢学院大学,右,小倉隆貴,福井工業大学,左,,,,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,表,1,0,0,-,-,-,水谷光希,金沢学院大学,右,小倉隆貴,福井工業大学,左,ストレート,,6,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
6,表,0,0,1,-,-,-,水谷光希,金沢学院大学,右,伊藤 航太,福井工業大学,左,チェンジアップ,,7,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,
6,表,0,0,2,-,-,-,水谷光希,金沢学院大学,右,久保誓真,福井工業大学,右,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,表,1,0,2,-,-,-,水谷光希,金沢学院大学,右,久保誓真,福井工業大学,右,ストレート,,7,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
6,表,1,1,2,-,-,-,水谷光希,金沢学院大学,右,久保誓真,福井工業大学,右,カットボール,,9,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
6,表,1,2,2,-,-,-,水谷光希,金沢学院大学,右,久保誓真,福井工業大学,右,ツーシーム,,8,内角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,
6,裏,0,0,0,-,-,-,藤川泰斗,福井工業大学,左,山川 悟輝,金沢学院大学,左,スライダー,,12,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,1,0,0,-,-,-,藤川泰斗,福井工業大学,左,山川 悟輝,金沢学院大学,左,ストレート,,4,,インプレー,1,1,1,1,1,,-,単打,ゴロ,左翼手,0,0,0,0,
6,裏,0,0,0,○,-,-,藤川泰斗,福井工業大学,左,川合錬磨,金沢学院大学,右,スライダー,,5,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,0,1,0,○,-,-,藤川泰斗,福井工業大学,左,川合錬磨,金沢学院大学,右,,,,外角,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
